Row_ID,Year,Era,Scenario,Region,Demographic_Group,Education_Level,Profession,AI_Tool_Category,Weekly_AI_Usage_Hours,AI_Dependency_Score,Human_Creativity_Score,Critical_Thinking_Ability,Problem_Solving_Skills,Emotional_Intelligence,Innovation_Rate,Learning_Speed,Human_Decision_Making_Involvement,Social_Interaction_Quality,Cognitive_Load_Index,Mental_Wellbeing_Score,AI_Tool_Proficiency,Adaptability_Score,Attention_Span_Minutes,Positive_Effects_of_AI,Negative_Effects_of_AI,Outcome_Label
23161,2027,AI Mainstream Adoption,Mixed,Africa,Young Adult (26-35),Undergraduate,Education,None,15.1,19.06,69.76,57.51,57.72,76.43,34.98,47.74,65.37,57.51,55.48,61.99,36.18,67.48,49.88,Improved creative brainstorming,Declining handwriting and manual skills; Emotional detachment from AI mediation,Stagnant / Moderate
23162,2031,AI-Augmented Society,Pessimistic,Latin America,Elder (65+),Primary,Law,None,9.4,27.81,73.96,69.97,67.65,51.34,50.41,61.38,74.26,61.61,70.02,68.98,39.04,53.89,41.31,Improved accessibility for disabled individuals,Attention span deterioration; Memory atrophy from AI offloading; Reduced physical-world problem solving,Cognitive Decline Risk
23163,2051,Cognitive Co-Evolution,Mixed,Middle East,Senior (51-65),PhD/Research,Unemployed/Retired,Analytical AI,26.7,51.38,59.93,62.4,56.82,64.63,63.21,60.88,65.61,53.76,60.32,64.74,51.79,67.19,37.5,Reduced cognitive load on repetitive tasks; Democratized access to expertise; Optimized problem-solving frameworks,Emotional detachment from AI mediation; Job displacement anxiety; Over-reliance on AI outputs,Stagnant / Moderate
23164,2074,Symbiotic Intelligence Age,Neutral,East Asia,Elder (65+),Postgraduate,Business,AGI-Adjacent Tools,30.6,80.74,66.74,65.01,71.54,77.11,78.81,72.88,50.56,62.4,82.09,64.94,82.26,60.85,54.5,Faster skill acquisition; Democratized access to expertise,Existential anxiety from AI advancement; Reduced independent thinking,Positive Growth
23165,2025,Early AI Integration,Mixed,Oceania,Senior (51-65),Secondary,Skilled Trades,Basic Assistants,4.0,4.41,64.42,74.34,53.16,83.92,22.92,67.31,75.7,68.56,55.4,64.59,1.69,73.36,35.51,Improved accessibility for disabled individuals,Existential anxiety from AI advancement; Privacy erosion through behavioral data; Reduced tolerance for ambiguity,Stagnant / Moderate
23166,2040,Deep AI Dependency Era,Mixed,East Asia,Adult (36-50),PhD/Research,Social Sciences,Creative AI,16.3,40.02,77.39,65.99,66.04,80.09,38.71,67.9,84.38,72.98,55.54,63.93,40.81,60.78,43.64,Personalized learning pathways; Improved mental health support tools; Optimized problem-solving frameworks,Skill atrophy in non-AI domains; Privacy erosion through behavioral data; Reduced tolerance for ambiguity,Stagnant / Moderate
23167,2074,Symbiotic Intelligence Age,Neutral,Africa,Youth (18-25),Secondary,Unemployed/Retired,Full AGI Integration,43.8,76.46,68.34,57.0,76.64,66.46,71.81,75.85,54.28,63.44,59.44,53.32,76.09,59.52,53.03,Greater scientific discovery rates; Accelerated innovation cycles,Job displacement anxiety; Loss of deep reading habits; Reduced independent thinking,Positive Growth
23168,2074,Symbiotic Intelligence Age,Mixed,Africa,Elder (65+),Postgraduate,Engineering,AGI-Adjacent Tools,42.9,77.59,63.47,62.54,72.2,58.36,35.6,64.43,58.82,70.02,77.05,66.44,82.92,58.83,34.6,Cross-domain creativity boosts,Job displacement anxiety; Reduced tolerance for ambiguity,Stagnant / Moderate
23169,2025,Early AI Integration,Optimistic,South Asia,Senior (51-65),Postgraduate,Unemployed/Retired,None,0,7.59,51.94,56.75,62.8,55.34,50.69,58.28,86.91,66.69,48.49,62.42,20.03,55.38,47.54,Reduced cognitive load on repetitive tasks; Enhanced collaborative intelligence,Decreased self-confidence in decisions; Polarization through AI echo chambers,Stagnant / Moderate
23170,2025,Early AI Integration,Neutral,Europe,Youth (18-25),Undergraduate,Unemployed/Retired,None,10.4,8.84,64.05,62.75,67.82,64.57,52.19,58.04,85.27,69.87,56.06,64.56,15.9,68.7,46.81,Enhanced research capabilities,Algorithmic bias reinforcement; Reduced independent thinking; Skill atrophy in non-AI domains,Stagnant / Moderate
23171,2048,Post-Singularity Transition,Neutral,Middle East,Senior (51-65),Undergraduate,Science & Research,Analytical AI,15.5,42.42,59.96,65.61,69.3,69.55,69.05,76.47,67.52,59.71,62.36,65.69,53.8,48.37,39.07,Enhanced research capabilities; Enhanced emotional regulation through AI coaching,Job displacement anxiety; Decreased self-confidence in decisions,Positive Growth
23172,2039,Deep AI Dependency Era,Optimistic,Latin America,Youth (18-25),Postgraduate,Law,Creative AI,9.5,35.5,75.39,72.37,67.66,68.6,48.76,68.73,82.69,61.9,57.64,63.93,36.32,68.1,46.68,Improved mental health support tools; Enhanced emotional regulation through AI coaching; Personalized learning pathways; Reduced cognitive load on repetitive tasks,Privacy erosion through behavioral data; Loss of deep reading habits,Positive Growth
23173,2065,Symbiotic Intelligence Age,Neutral,South Asia,Youth (18-25),Postgraduate,Entrepreneurship,AGI-Adjacent Tools,28.9,66.82,66.65,55.69,76.59,62.9,72.79,79.59,56.77,59.33,70.07,49.78,53.77,60.21,30.16,Enhanced emotional regulation through AI coaching; Increased productivity for deep work; Improved creative brainstorming,Decreased self-confidence in decisions; Reduced independent thinking; Polarization through AI echo chambers,Positive Growth
23174,2047,Post-Singularity Transition,Neutral,Oceania,Elder (65+),Secondary,Unemployed/Retired,Creative AI,23.7,41.55,64.68,61.88,66.73,66.22,61.72,66.27,66.8,62.06,65.88,58.93,40.14,65.02,59.35,Enhanced collaborative intelligence,Job displacement anxiety; Algorithmic bias reinforcement; Reduced physical-world problem solving,Stagnant / Moderate
23175,2049,Post-Singularity Transition,Mixed,Southeast Asia,Elder (65+),PhD/Research,Finance,Multi-modal AI,12.5,40.32,59.94,55.24,55.41,57.61,44.0,52.81,64.96,63.44,56.61,74.53,49.34,76.59,49.0,Reduced cognitive load on repetitive tasks; Optimized problem-solving frameworks; Accelerated innovation cycles,Reduced risk-taking in innovation,Stagnant / Moderate
23176,2026,Early AI Integration,Pessimistic,Middle East,Young Adult (26-35),PhD/Research,Skilled Trades,Basic Assistants,18.1,28.8,71.12,70.08,64.42,63.63,52.21,70.69,89.04,71.3,60.88,61.86,37.45,59.35,54.72,Broader knowledge access; Greater scientific discovery rates,Decreased social bonding; Loss of deep reading habits,Cognitive Decline Risk
23177,2045,Post-Singularity Transition,Neutral,Middle East,Adult (36-50),Postgraduate,Engineering,Analytical AI,7.6,38.69,74.12,61.13,72.36,73.93,67.45,65.47,66.43,62.91,60.95,65.07,51.24,63.3,44.42,Broader knowledge access,Job displacement anxiety; Privacy erosion through behavioral data,Positive Growth
23178,2040,Deep AI Dependency Era,Pessimistic,Latin America,Elder (65+),Postgraduate,Skilled Trades,Creative AI,20.1,38.66,63.75,57.4,70.25,60.29,43.58,54.8,74.73,66.09,70.46,65.77,40.11,48.04,38.94,Better data-driven decisions; Reduced cognitive load on repetitive tasks,Existential anxiety from AI advancement; Reduced tolerance for ambiguity; Decreased social bonding; Skill atrophy in non-AI domains,Cognitive Decline Risk
23179,2045,Post-Singularity Transition,Neutral,East Asia,Young Adult (26-35),Postgraduate,Finance,Analytical AI,17.3,36.23,68.7,59.45,63.54,55.21,60.02,70.73,70.35,61.1,66.35,70.09,30.63,73.36,34.83,Improved creative brainstorming; Better data-driven decisions; Democratized access to expertise,Memory atrophy from AI offloading; Loss of deep reading habits; Decreased social bonding,Stagnant / Moderate
23180,2058,Cognitive Co-Evolution,Pessimistic,Latin America,Young Adult (26-35),PhD/Research,Social Sciences,Multi-modal AI,42.0,74.45,45.35,46.79,51.68,39.97,43.25,53.16,60.43,38.5,82.51,39.61,67.8,57.46,37.09,Broader knowledge access; Increased productivity for deep work,Creativity homogenization; Decreased social bonding; Polarization through AI echo chambers,Cognitive Decline Risk
23181,2071,Symbiotic Intelligence Age,Neutral,North America,Young Adult (26-35),Postgraduate,Entrepreneurship,AGI-Adjacent Tools,43.5,76.53,61.17,63.38,74.94,71.3,70.96,87.97,43.57,63.25,85.54,83.68,74.02,53.86,42.73,Better data-driven decisions,Reduced physical-world problem solving; Existential anxiety from AI advancement,Positive Growth
23182,2061,Symbiotic Intelligence Age,Pessimistic,South Asia,Adult (36-50),Undergraduate,Unemployed/Retired,Full AGI Integration,34.0,69.77,52.86,46.47,48.97,41.91,33.14,56.98,41.1,55.86,67.55,35.74,63.46,50.65,25.69,,Algorithmic bias reinforcement; Decreased social bonding,Cognitive Decline Risk
23183,2045,Post-Singularity Transition,Optimistic,Oceania,Adult (36-50),Secondary,Finance,Basic Assistants,23.0,36.6,56.9,68.67,69.64,66.23,68.54,66.93,74.92,68.28,55.73,73.66,42.75,73.03,47.0,Greater scientific discovery rates; Faster medical diagnostics; Reduced cognitive load on repetitive tasks; Democratized access to expertise,Over-reliance on AI outputs,Positive Growth
23184,2069,Symbiotic Intelligence Age,Optimistic,Africa,Adult (36-50),PhD/Research,Finance,Full AGI Integration,35.7,70.5,80.06,81.14,83.03,71.82,78.9,86.61,65.51,80.24,74.55,71.74,76.39,91.79,51.97,Enhanced collaborative intelligence; Better data-driven decisions,,Positive Growth
23185,2057,Cognitive Co-Evolution,Optimistic,East Asia,Young Adult (26-35),Secondary,Law,Multi-modal AI,28.9,58.25,70.22,85.09,87.14,77.1,68.13,82.93,65.93,75.5,71.77,74.57,48.01,67.63,50.92,Enhanced collaborative intelligence; Broader knowledge access; Enhanced research capabilities,Decreased self-confidence in decisions; Over-reliance on AI outputs,Positive Growth
23186,2050,Post-Singularity Transition,Neutral,Oceania,Senior (51-65),Postgraduate,Technology,Multi-modal AI,21.1,47.59,72.19,71.94,59.38,71.46,60.7,72.35,64.58,62.71,65.68,66.7,53.67,55.14,39.57,Optimized problem-solving frameworks; Improved accessibility for disabled individuals; Faster medical diagnostics,Emotional detachment from AI mediation; Memory atrophy from AI offloading; Job displacement anxiety,Positive Growth
23187,2041,Post-Singularity Transition,Mixed,Latin America,Senior (51-65),Primary,Social Sciences,Creative AI,15.4,29.57,76.47,42.74,63.04,64.75,43.41,51.49,75.6,70.36,59.8,68.81,39.75,59.22,49.46,Better data-driven decisions; Greater scientific discovery rates; Cross-domain creativity boosts,Digital addiction patterns,Stagnant / Moderate
23188,2060,Cognitive Co-Evolution,Optimistic,Oceania,Senior (51-65),PhD/Research,Technology,AGI-Adjacent Tools,27.3,64.24,71.66,81.67,76.51,83.58,76.89,86.01,69.43,85.1,67.93,72.56,69.84,82.52,51.3,Optimized problem-solving frameworks; Improved creative brainstorming,Reduced risk-taking in innovation; Reduced tolerance for ambiguity,Positive Growth
23189,2059,Cognitive Co-Evolution,Optimistic,East Asia,Elder (65+),Secondary,Social Sciences,Analytical AI,34.4,55.73,63.21,71.65,72.44,71.79,73.2,85.03,65.97,81.61,53.95,69.91,46.36,65.87,53.41,Reduced cognitive load on repetitive tasks; Faster skill acquisition; Enhanced collaborative intelligence,Privacy erosion through behavioral data; Over-reliance on AI outputs,Positive Growth
23190,2044,Post-Singularity Transition,Pessimistic,Africa,Senior (51-65),PhD/Research,Technology,Creative AI,31.2,46.34,70.22,52.79,65.74,62.49,62.81,59.61,82.77,57.07,68.86,48.63,48.11,53.41,43.42,Real-time language and cultural bridging,Privacy erosion through behavioral data; Job displacement anxiety; Reduced risk-taking in innovation; Emotional detachment from AI mediation,Cognitive Decline Risk
23191,2045,Post-Singularity Transition,Neutral,North America,Senior (51-65),Postgraduate,Social Sciences,Analytical AI,12.7,35.88,57.29,58.37,68.37,68.24,56.67,66.64,64.76,61.12,63.25,53.31,29.85,65.67,51.21,Democratized access to expertise; Accelerated innovation cycles,Reduced physical-world problem solving,Stagnant / Moderate
23192,2061,Symbiotic Intelligence Age,Optimistic,Southeast Asia,Senior (51-65),Postgraduate,Business,Multi-modal AI,24.9,59.94,76.54,74.94,79.12,73.09,75.48,78.28,79.96,81.69,69.86,79.39,67.68,73.87,62.72,Enhanced research capabilities; Faster medical diagnostics,Reduced tolerance for ambiguity; Algorithmic bias reinforcement,Positive Growth
23193,2053,Cognitive Co-Evolution,Optimistic,Oceania,Senior (51-65),Postgraduate,Healthcare,Creative AI,26.3,54.08,73.07,67.89,93.9,75.44,72.66,73.97,84.25,83.44,70.6,72.95,65.38,71.19,61.38,Enhanced research capabilities; Cross-domain creativity boosts; Increased productivity for deep work,,Positive Growth
23194,2053,Cognitive Co-Evolution,Optimistic,South Asia,Senior (51-65),Secondary,Entrepreneurship,Creative AI,20.9,49.61,72.82,78.44,75.25,63.54,67.59,78.31,72.73,73.99,58.8,76.37,46.87,69.06,57.27,Improved mental health support tools; Greater scientific discovery rates; Better data-driven decisions; Improved creative brainstorming,Attention span deterioration,Positive Growth
23195,2033,AI-Augmented Society,Pessimistic,Africa,Young Adult (26-35),Primary,Unemployed/Retired,Creative AI,15.3,29.69,75.46,56.96,56.57,52.25,44.69,61.55,78.68,64.56,59.16,62.98,33.98,69.51,54.12,Enhanced emotional regulation through AI coaching,Job displacement anxiety; Declining handwriting and manual skills,Cognitive Decline Risk
23196,2069,Symbiotic Intelligence Age,Optimistic,South Asia,Senior (51-65),Secondary,Unemployed/Retired,Full AGI Integration,38.3,69.28,73.27,84.68,85.59,81.78,81.88,84.53,65.3,71.79,71.67,89.06,57.91,86.22,65.67,Optimized problem-solving frameworks; Faster medical diagnostics; Democratized access to expertise; Improved mental health support tools,,Positive Growth
23197,2050,Post-Singularity Transition,Pessimistic,Middle East,Young Adult (26-35),PhD/Research,Engineering,Multi-modal AI,36.6,60.33,52.73,55.59,57.67,55.65,58.71,58.73,48.55,50.94,69.26,52.18,65.18,58.96,38.46,Enhanced research capabilities; Broader knowledge access,Decreased self-confidence in decisions; Reduced tolerance for ambiguity,Cognitive Decline Risk
23198,2056,Cognitive Co-Evolution,Neutral,Oceania,Adult (36-50),Secondary,Healthcare,AGI-Adjacent Tools,25.5,55.9,64.21,66.01,80.38,63.11,55.54,70.14,70.9,66.63,63.09,63.44,63.55,75.73,45.45,Reduced cognitive load on repetitive tasks; Faster skill acquisition,Polarization through AI echo chambers,Positive Growth
23199,2050,Post-Singularity Transition,Neutral,North America,Elder (65+),PhD/Research,Creative Arts,Creative AI,19.5,46.19,56.54,57.96,66.86,62.83,68.44,61.38,71.86,59.92,69.64,71.27,45.28,61.11,59.36,Better data-driven decisions; Improved accessibility for disabled individuals; Enhanced collaborative intelligence,Decreased social bonding; Emotional detachment from AI mediation; Memory atrophy from AI offloading,Stagnant / Moderate
23200,2053,Cognitive Co-Evolution,Optimistic,Middle East,Youth (18-25),Postgraduate,Unemployed/Retired,Creative AI,33.3,53.63,63.09,77.08,76.78,75.79,82.68,83.47,73.3,69.34,57.52,72.18,59.81,83.36,52.51,Cross-domain creativity boosts; Increased productivity for deep work; Greater scientific discovery rates; Real-time language and cultural bridging,Digital addiction patterns,Positive Growth
23201,2059,Cognitive Co-Evolution,Neutral,South Asia,Elder (65+),Postgraduate,Science & Research,AGI-Adjacent Tools,26.3,58.03,61.27,65.85,69.07,71.98,64.55,70.79,57.26,57.59,71.89,67.45,62.43,58.32,40.21,Improved mental health support tools; Improved accessibility for disabled individuals,Reduced tolerance for ambiguity; Reduced risk-taking in innovation; Emotional detachment from AI mediation,Positive Growth
23202,2055,Cognitive Co-Evolution,Pessimistic,Oceania,Young Adult (26-35),Primary,Healthcare,Analytical AI,32.2,66.93,52.63,47.27,59.7,56.66,32.81,58.13,54.7,46.68,66.4,60.76,56.56,62.77,29.17,Enhanced emotional regulation through AI coaching; Faster skill acquisition,Job displacement anxiety; Decreased social bonding,Cognitive Decline Risk
23203,2035,AI-Augmented Society,Mixed,South Asia,Young Adult (26-35),Primary,Skilled Trades,Creative AI,14.3,15.29,70.91,66.83,69.95,83.5,54.88,57.43,100,70.89,55.78,72.31,20.23,66.35,64.61,Enhanced collaborative intelligence,Over-reliance on AI outputs; Reduced independent thinking; Reduced risk-taking in innovation,Stagnant / Moderate
23204,2035,AI-Augmented Society,Pessimistic,Oceania,Elder (65+),Secondary,Technology,Basic Assistants,24.5,32.1,68.27,56.57,60.05,60.07,44.39,55.49,72.07,72.58,58.16,66.2,40.07,50.25,39.45,Broader knowledge access,Over-reliance on AI outputs; Reduced risk-taking in innovation; Polarization through AI echo chambers; Creativity homogenization,Cognitive Decline Risk
23205,2060,Cognitive Co-Evolution,Neutral,Southeast Asia,Senior (51-65),PhD/Research,Unemployed/Retired,Multi-modal AI,29.7,56.88,66.07,58.34,76.81,66.87,61.76,82.3,60.92,57.63,70.34,65.45,64.8,79.43,51.8,Faster medical diagnostics; Augmented artistic expression; Improved creative brainstorming,Attention span deterioration,Positive Growth
23206,2059,Cognitive Co-Evolution,Neutral,Oceania,Elder (65+),Primary,Engineering,Analytical AI,27.9,59.23,69.77,62.55,61.55,72.03,66.57,75.06,69.27,62.95,67.58,68.06,69.28,52.91,42.56,Reduced cognitive load on repetitive tasks; Faster medical diagnostics; Enhanced emotional regulation through AI coaching,Over-reliance on AI outputs; Reduced risk-taking in innovation,Positive Growth
23207,2066,Symbiotic Intelligence Age,Optimistic,East Asia,Adult (36-50),Secondary,Unemployed/Retired,AGI-Adjacent Tools,31.4,67.26,82.46,76.63,86.62,79.77,79.68,75.7,69.71,83.9,69.32,79.64,71.57,91.65,56.09,Enhanced collaborative intelligence; Faster skill acquisition; Greater scientific discovery rates,,Positive Growth
23208,2025,Early AI Integration,Mixed,East Asia,Senior (51-65),PhD/Research,Law,None,0,2.89,66.86,62.01,56.63,63.2,83.0,64.29,72.67,56.6,50.68,58.56,18.85,54.83,40.45,Enhanced emotional regulation through AI coaching; Optimized problem-solving frameworks,Job displacement anxiety; Algorithmic bias reinforcement; Attention span deterioration,Stagnant / Moderate
23209,2036,Deep AI Dependency Era,Pessimistic,Europe,Senior (51-65),Undergraduate,Social Sciences,None,19.3,40.07,56.99,67.18,51.55,57.85,61.43,61.38,86.96,59.8,71.87,54.99,44.54,61.79,36.77,Cross-domain creativity boosts; Greater scientific discovery rates,Memory atrophy from AI offloading; Creativity homogenization,Cognitive Decline Risk
23210,2024,Early AI Integration,Neutral,Africa,Young Adult (26-35),PhD/Research,Entrepreneurship,Basic Assistants,7.7,8.3,70.25,63.33,59.9,59.15,52.03,57.63,77.62,62.4,53.01,67.83,12.56,71.23,59.43,Enhanced emotional regulation through AI coaching; Faster medical diagnostics,Privacy erosion through behavioral data; Reduced tolerance for ambiguity,Stagnant / Moderate
23211,2070,Symbiotic Intelligence Age,Optimistic,East Asia,Elder (65+),Undergraduate,Healthcare,Full AGI Integration,36.6,70.33,80.94,85.34,88.89,80.15,98.31,81.88,67.74,81.89,72.42,73.79,71.31,90.92,59.78,Augmented artistic expression; Faster medical diagnostics; Enhanced research capabilities; Enhanced collaborative intelligence,Algorithmic bias reinforcement; Reduced physical-world problem solving,Positive Growth
23212,2060,Cognitive Co-Evolution,Optimistic,Middle East,Adult (36-50),Undergraduate,Law,Multi-modal AI,21.2,55.54,77.76,83.15,88.32,69.09,93.91,91.58,78.4,78.63,61.3,76.84,65.69,74.38,56.94,Optimized problem-solving frameworks; Greater scientific discovery rates; Improved creative brainstorming,Privacy erosion through behavioral data; Reduced tolerance for ambiguity,Positive Growth
23213,2040,Deep AI Dependency Era,Neutral,Southeast Asia,Senior (51-65),Postgraduate,Law,Analytical AI,7.8,34.94,70.13,70.26,58.98,60.2,55.9,65.54,74.16,64.96,52.41,72.32,50.71,60.07,46.91,Democratized access to expertise,Decreased self-confidence in decisions; Emotional detachment from AI mediation; Creativity homogenization,Stagnant / Moderate
23214,2068,Symbiotic Intelligence Age,Pessimistic,Africa,Young Adult (26-35),Secondary,Skilled Trades,Full AGI Integration,36.5,88.34,43.8,33.03,41.65,42.59,28.59,40.42,47.08,47.48,80.31,26.42,80.64,45.31,22.22,,Reduced independent thinking; Decreased social bonding; Creativity homogenization,Cognitive Decline Risk
23215,2037,Deep AI Dependency Era,Pessimistic,Latin America,Adult (36-50),Undergraduate,Education,None,25.4,46.01,68.81,55.42,64.79,60.56,66.58,64.69,88.11,70.0,58.19,56.57,60.67,66.43,43.73,Increased productivity for deep work,Emotional detachment from AI mediation; Decreased self-confidence in decisions,Cognitive Decline Risk
23216,2053,Cognitive Co-Evolution,Pessimistic,East Asia,Young Adult (26-35),Primary,Healthcare,Analytical AI,27.3,60.1,44.61,46.48,54.09,52.83,56.57,55.08,55.51,41.1,69.5,41.28,58.78,53.26,28.28,Enhanced collaborative intelligence; Enhanced research capabilities,Emotional detachment from AI mediation; Privacy erosion through behavioral data; Reduced independent thinking,Cognitive Decline Risk
23217,2045,Post-Singularity Transition,Neutral,Southeast Asia,Elder (65+),Primary,Creative Arts,Creative AI,16.3,38.49,71.87,69.45,69.45,61.05,59.79,68.7,65.75,59.51,66.18,78.47,32.05,66.45,40.41,Reduced cognitive load on repetitive tasks,Reduced risk-taking in innovation,Positive Growth
23218,2056,Cognitive Co-Evolution,Pessimistic,Middle East,Adult (36-50),Secondary,Entrepreneurship,AGI-Adjacent Tools,30.2,60.94,47.48,51.23,53.39,54.44,40.99,49.72,55.93,33.69,66.31,57.62,59.04,55.58,26.52,Augmented artistic expression; Optimized problem-solving frameworks,Existential anxiety from AI advancement; Digital addiction patterns; Memory atrophy from AI offloading; Polarization through AI echo chambers,Cognitive Decline Risk
23219,2075,Symbiotic Intelligence Age,Optimistic,Europe,Youth (18-25),Primary,Business,Full AGI Integration,37.4,75.45,86.97,81.34,84.51,70.53,87.0,88.31,55.72,88.17,68.44,80.29,78.23,95.94,64.83,Augmented artistic expression; Broader knowledge access; Greater scientific discovery rates; Faster medical diagnostics,Reduced tolerance for ambiguity; Reduced risk-taking in innovation,Positive Growth
23220,2033,AI-Augmented Society,Neutral,East Asia,Elder (65+),Primary,Education,Basic Assistants,3.5,22.43,68.1,60.67,71.03,65.99,61.2,49.5,78.22,67.86,56.67,73.95,21.61,54.48,56.16,Cross-domain creativity boosts; Improved accessibility for disabled individuals; Augmented artistic expression,Decreased social bonding; Existential anxiety from AI advancement,Positive Growth
23221,2053,Cognitive Co-Evolution,Pessimistic,Oceania,Adult (36-50),PhD/Research,Creative Arts,Multi-modal AI,24.3,55.23,55.17,46.8,61.54,56.78,34.12,58.25,64.34,49.39,68.59,46.72,54.42,48.89,30.98,Enhanced collaborative intelligence,Reduced tolerance for ambiguity; Creativity homogenization,Cognitive Decline Risk
23222,2063,Symbiotic Intelligence Age,Pessimistic,North America,Senior (51-65),Secondary,Social Sciences,AGI-Adjacent Tools,26.5,73.95,39.59,42.32,58.07,44.1,35.57,64.61,43.87,46.53,77.74,46.62,71.56,53.52,27.87,,Skill atrophy in non-AI domains; Reduced risk-taking in innovation; Loss of deep reading habits,Cognitive Decline Risk
23223,2039,Deep AI Dependency Era,Optimistic,Middle East,Adult (36-50),PhD/Research,Education,Basic Assistants,19.0,32.44,69.75,76.47,72.55,69.98,65.83,68.66,70.8,74.3,66.54,67.0,40.33,68.05,54.34,Augmented artistic expression; Enhanced collaborative intelligence; Cross-domain creativity boosts; Improved mental health support tools,,Positive Growth
23224,2050,Post-Singularity Transition,Optimistic,Latin America,Adult (36-50),Postgraduate,Law,Multi-modal AI,11.1,45.78,59.47,81.23,67.93,74.4,67.01,67.87,77.44,80.91,62.6,77.99,52.13,77.67,54.03,Greater scientific discovery rates; Faster skill acquisition,Over-reliance on AI outputs,Positive Growth
23225,2063,Symbiotic Intelligence Age,Optimistic,South Asia,Senior (51-65),PhD/Research,Education,AGI-Adjacent Tools,28.2,61.03,71.86,65.06,83.02,75.09,83.24,85.07,68.09,76.88,69.05,74.86,58.31,78.35,57.33,Enhanced research capabilities; Democratized access to expertise; Augmented artistic expression; Personalized learning pathways,Loss of deep reading habits,Positive Growth
23226,2063,Symbiotic Intelligence Age,Mixed,South Asia,Youth (18-25),Undergraduate,Social Sciences,AGI-Adjacent Tools,23.1,55.27,58.04,66.01,57.35,57.44,47.01,79.94,69.92,65.26,74.78,64.26,56.24,64.93,43.81,Enhanced research capabilities,Digital addiction patterns,Stagnant / Moderate
23227,2063,Symbiotic Intelligence Age,Pessimistic,Middle East,Adult (36-50),Primary,Engineering,Full AGI Integration,50.1,80.09,36.34,44.47,54.59,42.94,37.35,51.24,52.28,48.07,61.2,53.45,78.72,40.79,21.69,Faster medical diagnostics,Attention span deterioration; Reduced risk-taking in innovation; Reduced independent thinking,Cognitive Decline Risk
23228,2072,Symbiotic Intelligence Age,Optimistic,Latin America,Youth (18-25),Undergraduate,Social Sciences,Full AGI Integration,37.8,76.92,90.56,81.24,78.29,83.55,92.45,94.04,76.43,83.97,69.18,79.06,77.64,86.69,63.03,Better data-driven decisions; Improved creative brainstorming,Decreased self-confidence in decisions,Positive Growth
23229,2024,Early AI Integration,Optimistic,North America,Senior (51-65),Primary,Unemployed/Retired,None,7.8,11.88,57.05,62.13,55.86,63.3,50.67,50.67,81.46,58.34,64.45,46.43,20.0,61.64,46.62,Accelerated innovation cycles; Broader knowledge access; Improved accessibility for disabled individuals,Reduced tolerance for ambiguity; Skill atrophy in non-AI domains,Stagnant / Moderate
23230,2055,Cognitive Co-Evolution,Optimistic,North America,Young Adult (26-35),Secondary,Technology,Multi-modal AI,20.7,51.81,83.1,71.98,74.54,68.7,76.23,66.89,75.59,87.7,61.65,68.96,52.01,71.36,50.24,Faster medical diagnostics; Democratized access to expertise; Improved creative brainstorming,Declining handwriting and manual skills; Emotional detachment from AI mediation,Positive Growth
23231,2060,Cognitive Co-Evolution,Neutral,Southeast Asia,Senior (51-65),Undergraduate,Technology,Analytical AI,35.2,59.1,69.21,61.61,67.07,72.36,65.48,79.19,64.32,61.87,61.25,69.65,55.13,55.18,43.97,Reduced cognitive load on repetitive tasks; Greater scientific discovery rates,Loss of deep reading habits; Reduced risk-taking in innovation,Positive Growth
23232,2049,Post-Singularity Transition,Optimistic,Africa,Senior (51-65),Postgraduate,Unemployed/Retired,Multi-modal AI,21.2,46.77,68.08,77.32,64.11,72.69,70.07,69.62,73.05,72.08,73.14,72.23,43.83,75.69,58.72,Faster skill acquisition; Broader knowledge access; Accelerated innovation cycles; Augmented artistic expression,Decreased social bonding,Positive Growth
23233,2054,Cognitive Co-Evolution,Pessimistic,Oceania,Elder (65+),Undergraduate,Business,Analytical AI,34.2,62.34,49.79,60.11,51.31,38.6,41.25,54.7,58.33,62.11,56.81,43.45,54.47,56.45,23.57,,Job displacement anxiety; Emotional detachment from AI mediation; Reduced risk-taking in innovation,Cognitive Decline Risk
23234,2073,Symbiotic Intelligence Age,Pessimistic,Europe,Senior (51-65),Secondary,Technology,Full AGI Integration,48.5,85.53,25.75,43.42,55.66,26.78,33.69,45.52,40.76,39.29,76.59,33.04,90.53,32.78,21.33,Optimized problem-solving frameworks; Enhanced emotional regulation through AI coaching,Attention span deterioration; Decreased social bonding,Cognitive Decline Risk
23235,2029,AI Mainstream Adoption,Mixed,Oceania,Young Adult (26-35),Undergraduate,Technology,None,25.3,27.0,77.56,57.39,64.34,71.06,57.76,54.21,69.45,73.65,58.74,68.23,29.38,69.05,38.3,Faster skill acquisition,Existential anxiety from AI advancement; Declining handwriting and manual skills; Loss of deep reading habits,Stagnant / Moderate
23236,2070,Symbiotic Intelligence Age,Pessimistic,Africa,Youth (18-25),PhD/Research,Science & Research,AGI-Adjacent Tools,53.8,91.68,26.7,37.1,48.91,36.91,41.49,55.76,26.72,58.42,75.41,25.4,96.66,33.78,13.69,Increased productivity for deep work,Algorithmic bias reinforcement; Emotional detachment from AI mediation; Job displacement anxiety,Cognitive Decline Risk
