Clothing_ID,Clothing_Name,Native_Name,Country,Region,Ethnic_Group,Garment_Type,Clothing_Category,Historical_Period,Primary_Fabric,Secondary_Fabric,Weaving_Technique,Embroidery_Type,Dominant_Colors,Occasion_Used,Religious_Significance,Traditional_Accessories,Climate_Adaptation,Cultural_Symbolism,Modern_Fashion_Influence,Endangered_Tradition_Status,Visual_Vibrancy_Score,Historical_Depth_Score
TG-30412,Aheggal Cape,Aheggal Cape,Algeria,North Africa,Kabyle Berber,Kaftan,,Classical Antiquity,Silk,Cotton lining,Tapestry weave,Silver work,"Gold, Red",Harvest,Zoroastrian fire and purity,Amber beads,Equatorial Rainforest,Kabyle Amazigh resistance and mountain identity,None,Active,5,4
TG-30413,Tiziri Veil,Tiziri Veil,Algeria,North Africa,Kabyle Berber,Jacket,Ritual,Early Medieval 500-1000 CE,Silk,,Drawloom,Needlepoint,"Red, Gold, Indigo",Wedding,Andean Pachamama earth spirit,Tabzimt fibula,Cold Continental,Kabyle Amazigh resistance and mountain identity,None,Active,3,10
TG-30414,,Burnous Cloak,Tunisia,North Africa,Tunisian,Headdress,Footwear,Ottoman Era,Cotton,None,Hand spinning,Zardozi goldwork,"Red, Saffron",Wedding,N/A,Chkobba gold headpiece,Mediterranean,Carthaginian-Arab-Andalusian cultural fusion,High,Active,10,10
TG-30415,Jebba Robe,,Tunisia,North Africa,Tunisian,Jacket,Warrior,Pre-Columbian,Wool,Silk thread,Jacquard loom,,"Red, Saffron",Sousse Festival,Shamanic world tree and axis mundi,Silver bracelets,Subarctic,Carthaginian-Arab-Andalusian cultural fusion,None,Endangered,7,1
TG-30416,Sefsari Veil,Not Documented,Tunisia,North Africa,Tunisian,Armor Suit,Ritual,Viking Age,Cotton,Silk thread,Screen printing,Tunis embroidery,"Turquoise, Red, Saffron",Sousse Festival,Yoruba Orisha devotion,Chkobba gold headpiece,Mediterranean,Carthaginian-Arab-Andalusian cultural fusion,Low,Active,9,1
TG-30417,Jelab Robe,Jelab Robe,Sudan,North Africa,N/A,Ceremonial Robe,Ceremonial,Kushite Kingdom,Chiffon,None,Drawloom,Drawn thread,"Midnight Blue, Silver, Gold",Eid,Australian Dreaming ancestors,Nubian gold headdress,Tropical Dry Savanna,Nubian queenly heritage and Nile Valley ancient civilization,Low,Active,6,4
TG-30418,Toob Wrap,Toob Wrap,Sudan,North Africa,Sudanese Nubian,Jacket,Festival,Enlightenment Era,Silk,Silk thread,Jacquard loom,Needlepoint,"Midnight Blue, Silver",Circumcision,Confucian social hierarchy,Nubian gold headdress,Cold Alpine,Nubian queenly heritage and Nile Valley ancient civilization,None,Active,2,3
TG-30419,Nubian Gold Dress,Nubian Gold Dress,Sudan,North Africa,Sudanese Nubian,Bridal Ensemble,Warrior,Early Medieval 500-1000 CE,Cotton,None,Naalbinding,Cutwork,"Silver, Gold",Wedding,Andean Pachamama earth spirit,Kohl eyes,Hot Desert,Nubian queenly heritage and Nile Valley ancient civilization,None,Active,9,1
TG-30420,Kaftan,Kaftan,Sudan,North Africa,Sudanese Nubian,Crown,Warrior,Early Modern 1400-1700,Cotton,Cotton lining,Block printing,Hardanger embroidery,"Silver, Midnight Blue",Circumcision,Animist spirit world connection,Silver bracelets,Continental Steppe,Nubian queenly heritage and Nile Valley ancient civilization,Medium,Active,8,10
TG-30421,Festival Jacket,Festival Jacket,France,Europe,Unknown,Parka,Court,Early Modern 1400-1700,Velvet,Black wool,Not Documented,Goldwork couching,"Gold, Red, White",Wedding,Not Documented,Celtic cross pendant,Continental Steppe,Unknown,,Extinct,3,5
TG-30422,Bigouden Coiffe Headdress,Bigouden Coiffe Headdress,France,Europe,Breton,Veil,Tribal,19th Century,Velvet,Silk thread,Naalbinding,Hardanger embroidery,"Black, Red, White",Church,Andean Pachamama earth spirit,Velvet ribbon,Island Maritime,Breton Celtic identity and Catholic parish tradition,Very High,Reviving,7,10
TG-30423,Tablier Apron,Tablier Apron,France,Europe,Breton,Tunic,Footwear,Early Medieval 500-1000 CE,Black wool,Black wool,Tablet weaving,Kasuti embroidery,"Gold, White",Wedding,Confucian social hierarchy,Celtic cross pendant,Tropical Highland,Breton Celtic identity and Catholic parish tradition,High,Active,9,6
TG-30424,Tartan Trews,,Scotland,Europe,Highland Scottish,Hat,Innerwear,Mughal Period,Tartan wool,Leather,Naalbinding,Aari hook stitch,"Red, Blue, Clan tartan colors",Clan Gathering,Zoroastrian fire and purity,Sporran purse,Temperate Maritime,Scottish clan identity and Highland warrior heritage,Low,Extinct,8,1
TG-30425,Great Kilt Plaid,Great Kilt Plaid,Scotland,Europe,Highland Scottish,Armor Suit,Tribal,Qing Dynasty,Linen,Linen,Mud cloth bogolanfini,Mirror work shisha,"Green, Red",Clan Gathering,Islamic modesty and geometric pattern,Sporran purse,High Altitude Cold,Scottish clan identity and Highland warrior heritage,Very High,Active,3,9
TG-30426,Sami Gakti,Sami Gakti,Norway,Europe,Norwegian,Saree,Headwear,Medieval 1000-1400 CE,Wool,Linen,Card weaving,Silk ribbon embroidery,"Black, White, Cornflower Blue",Church,Andean Pachamama earth spirit,Silver brooch fibula,Subtropical Monsoon,Norwegian regional identity and National Romantic heritage,None,Extinct,3,6
TG-30427,Hardanger Bunad,Hardanger Bunad,,Europe,Norwegian,Unknown,Court,Ancient (pre-500 CE),Linen,Cotton lining,Ikat,Cutwork,"Black, White",Church,,Clasp buttons,High Altitude Cold,Norwegian regional identity and National Romantic heritage,Medium,Active,2,1
TG-30428,Matyo Embroidered Blouse,Matyo Embroidered Blouse,Hungary,Europe,,Unknown,Innerwear,Timurid Era,Sheepskin,None,Sprang,Kasuti embroidery,"Black, Poppy Red",Not Documented,None,Red boots,Hot Semi-Arid,Hungarian folk identity and Pannonian steppe heritage,None,Active,8,7
TG-30429,Cifra Embroidered Cape,Cifra Embroidered Cape,Hungary,,Magyar,Warrior Attire,Headwear,Qing Dynasty,Sheepskin,Linen,Plain weave,Reverse applique,"Poppy Red, Black, White",Pentecost,Maya Ixchel moon goddess,Folk embroidered purse,High Altitude Cold,Hungarian folk identity and Pannonian steppe heritage,Low,Extinct,8,1
TG-30430,Tsarouhi Shoe,Tsarouhi Shoe,Greece,Europe,Evzone,Dance Costume,Religious,Ottoman Era,Wool,Cotton lining,Shibori,Goldwork couching,"Blue, White",Independence Day Parade,Buddhist merit and dharma symbolism,Pompom tsarouhi,Equatorial Rainforest,Greek national resistance and War of Independence hero legacy,None,Active,1,2
TG-30431,Fustanella Kilt,Fustanella Kilt,Greece,Europe,Evzone,Wrap Skirt,Festival,Classical Antiquity,Wool,Silk thread,Kente strip loom,Cutwork,"Gold, Blue, Red",Wedding,Greek Orthodox,Kilt waistband,Tropical Dry Savanna,Greek national resistance and War of Independence hero legacy,None,Active,3,1
TG-30432,Fermeli Jacket,Unknown,Greece,Europe,Evzone,Dress,Accessory,Qing Dynasty,Wool,None,Supplementary weft,Zardozi goldwork,"Gold, Blue",Epiphany,Christian faith and saint veneration,Pompom tsarouhi,,Greek national resistance and War of Independence hero legacy,Medium,Active,1,8
TG-30433,Caciula Hat,Caciula Hat,Romania,Unknown,Transylvanian,Gown,Ritual,Early Modern 1400-1700,Cotton,Hand-woven linen,Ndop resist,Tibetan couching,"Blue, Red, Black",Martishor Spring Festival,Shinto nature kami,Unknown,Tropical Highland,Romanian Dacian-Slavic folk identity and Orthodox faith,High,Active,5,1
TG-30434,Fota Skirt,Fota Skirt,Romania,Europe,Transylvanian,Ceremonial Robe,Footwear,Meiji Period,Sheepskin,Sheepskin,Tie-dye,Hardanger embroidery,"White, Black",Wedding,None,Ie embroidered collar,High Altitude Cold,Romanian Dacian-Slavic folk identity and Orthodox faith,Low,Extinct,8,7
TG-30435,Vyshyvanka Embroidered Shirt,,Ukraine,Europe,Cossack Ukrainian,Gown,,Contemporary,Linen,None,Inkle loom,Cutwork,"Red, White",Vyshyvanka Day,,Necklace coral,Tropical Highland,,Low,Reviving,5,6
TG-30436,Zipun Jacket,Zipun Jacket,Russia,Europe,Russian Folk,Shawl,Ceremonial,Post-Colonial Modern,Velvet,Silk thread,Resist dyeing,N/A,"Gold, Deep Blue",Church Calendar,Russian Orthodox,Embroidered belt,Arctic Tundra,Russian Orthodox faith and noble village craft heritage,Medium,Endangered,6,1
TG-30437,Sarafan Sundress,Sarafan Sundress,Russia,Europe,Russian Folk,Gown,Royal,Baroque,Silk,None,Batik wax resist,Silk ribbon embroidery,"White, Crimson",Church Calendar,Zoroastrian fire and purity,Embroidered belt,Subtropical Monsoon,Russian Orthodox faith and noble village craft heritage,Very High,Active,9,5
TG-30438,Traje de Viana Costume,,Portugal,Europe,Minho,Kaftan,Court,Medieval-Present,Cotton,None,Hand spinning,,"Black, Red, White",Wedding,None,Filigree necklace,Cold Alpine,Portuguese Minho folk pride and Marian devotion,High,Active,8,5
TG-30439,Varina Fisherwoman Dress,Not Documented,Portugal,Europe,Minho,Blouse,Festival,Qing Dynasty,Cotton,,Floor loom,Kantha running stitch,"Black, Gold, Red",Wedding,Catholic,Filigree necklace,Cold Continental,Portuguese Minho folk pride and Marian devotion,Low,Active,2,3
TG-30440,Bata de Cola,Bata de Cola,Spain,Europe,Andalusian,Body Wrap,Innerwear,Silk Road Era,Sequined fabric,Cotton lining,Card weaving,Smocking,"Black, Gold",Feria de Abril,Maya Ixchel moon goddess,Castanets,Tropical Highland,Andalusian gitano Romani culture and Moorish-Catholic fusion,High,Endangered,4,5
TG-30441,Traje de Flamenca,Traje de Flamenca,Spain,Europe,Andalusian,Armor Suit,Court,Contemporary,N/A,Lace,,,"Black, Red, Gold",Semana Santa,None,Mantilla comb,Mediterranean,Andalusian gitano Romani culture and Moorish-Catholic fusion,None,Active,10,8
TG-30442,Mantilla Veil,Mantilla Veil,,Europe,Andalusian,Coat,Innerwear,Meiji Period,Silk,None,Tablet weaving,Zardozi goldwork,"White Polka Dot, Red, Black",Flamenco,Shinto nature kami,Carnation,Subarctic,Andalusian gitano Romani culture and Moorish-Catholic fusion,Low,Active,10,6
TG-30443,Torero Suit of Lights,Unknown,Spain,Unknown,Andalusian,Torero Jacket,Religious,Iron Age,Flounced cotton,Cotton lining,Naalbinding,None,"White Polka Dot, Gold",Feria de Abril,Confucian social hierarchy,Flounce fan,Tropical Humid,Andalusian gitano Romani culture and Moorish-Catholic fusion,Very High,Reviving,3,5
TG-30444,Enredo Skirt,Enredo Skirt,Mexico,Americas,Zapotec,Hat,Outerwear,Medieval 1000-1400 CE,Silk,None,Resist dyeing,Zapotec brocade,Unknown,Dia de Muertos,Catholic-Zapotec,Floral crown,Cold Alpine,Zapotec cosmic calendar and Monte Alban heritage,None,Extinct,4,2
TG-30445,Huipil Blouse,,Mexico,Americas,Zapotec,Warrior Attire,Footwear,Bronze Age,Cotton,Silk,Shibori,Smocking,"Yellow, Indigo Blue",Dia de Muertos,Yoruba Orisha devotion,Huarache sandal,Island Maritime,Zapotec cosmic calendar and Monte Alban heritage,Very High,Active,4,4
TG-30446,Quechquemitl Cape,Quechquemitl Cape,Mexico,Americas,Zapotec,Cape,Footwear,Iron Age,Silk,Cochineal-dyed fiber,Tablet weaving,Cutwork,"Cochineal Red, Indigo Blue, Yellow",Dia de Muertos,Aztec solar deity,Jicara gourd,Temperate Maritime,Zapotec cosmic calendar and Monte Alban heritage,Low,Extinct,3,5
TG-30447,Tela de Teotitlan,Tela de Teotitlan,Mexico,Americas,Zapotec,Apron,Religious,Contemporary,Cotton,Silk,Knotted pile,Blackwork,"Yellow, Indigo Blue, Black",Dia de Muertos,Islamic modesty and geometric pattern,Jade ear spool,,Zapotec cosmic calendar and Monte Alban heritage,Low,Active,10,1
TG-30448,Terno,Terno,Mexico,Americas,Maya Yucatec,Sash,Warrior,Contemporary,Handwoven cotton,Silk ribbon,Tapestry weave,Silk ribbon embroidery,"Flower embroidery colors, Black, White",Hanal Pixan,Animist spirit world connection,Xtabay flower crown,Subtropical Monsoon,Maya cosmovision and cenote water symbolism,None,Endangered,2,3
TG-30449,Hipil Dress,Hipil Dress,Mexico,Americas,Maya Yucatec,Sarong,Royal,18th Century,Handwoven cotton,Handwoven cotton,Inkle loom,Smocking,"Gold, Flower embroidery colors, Black",Jarana Dance,Taoist cosmic balance,Filigree gold necklace,Continental Steppe,Maya cosmovision and cenote water symbolism,High,Reviving,8,3
TG-30450,Bayeta Tunic,Bayeta Tunic,Peru,Americas,Quechua,Vest,Outerwear,Ottoman Era,Llama wool,Not Documented,Batik wax resist,Needlepoint,"White, Gold, Teal",Carnaval,Not Documented,Coca leaf bag,High Altitude Cold,Andean Pachamama cosmology and Inka solar symbolism,None,,10,8
TG-30451,Lliclla Shawl,Lliclla Shawl,Peru,Americas,Quechua,Dance Costume,Headwear,Baroque,Alpaca wool,None,Drawloom,Drawn thread,"Crimson, White",Daily Andean,Yoruba Orisha devotion,Tupu pin,Tropical Dry Savanna,Andean Pachamama cosmology and Inka solar symbolism,None,Active,6,9
TG-30452,Pollera Skirt,Pollera Skirt,Bolivia,Americas,Aymara,Body Wrap,Ritual,Iron Age,Wool,Unknown,Brocade,Mola reverse applique,"Black, Gold, Purple",Alasitas Festival,None,Derby hat,Tropical Highland,Cholita empowerment and Aymara indigenous identity,None,Active,9,5
TG-30453,Manta Cape,Manta Cape,Bolivia,Americas,Aymara,Dance Costume,Bridal,Qing Dynasty,Handwoven,Silk thread,Hand spinning,Cross-stitch,"Black, Multicolor, Purple",Cholita Daily,Yoruba Orisha devotion,Shawl pin,High Altitude Cold,Cholita empowerment and Aymara indigenous identity,Medium,Active,1,4
TG-30454,Awayu Textile,Awayu Textile,Bolivia,Americas,Aymara,,Royal,Renaissance,Wool,Silk,Inkle loom,Sequin applique,"Gold, Purple, Multicolor",Alasitas Festival,Catholic-Aymara,Unknown,Continental Steppe,Cholita empowerment and Aymara indigenous identity,Medium,Active,8,3
TG-30455,Bombin Derby Hat,Bombin Derby Hat,Bolivia,Americas,Aymara,Veil,Royal,Not Documented,Synthetic mix,Synthetic mix,Unknown,Cross-stitch,"Gold, Black",Wedding,Shinto nature kami,Derby hat,High Altitude Cold,Cholita empowerment and Aymara indigenous identity,High,Active,2,8
TG-30456,Tzute Cloth,Unknown,Guatemala,Americas,Maya Kaqchikel,Cape,Bridal,Classical Antiquity,Ikat,Backstrap loom fabric,Brocade,Phulkari bagh stitch,"Yellow, Indigo, Red",Market Day,None,Jade bead,Arctic Tundra,Maya Kaqchikel lineage and weaving as womens identity,Very High,Reviving,4,6
TG-30457,Tapis Panel,Tapis Panel,Guatemala,Americas,Maya Kaqchikel,Hat,Royal,Silk Road Era,Silk,Backstrap loom fabric,Shibori,Tibetan couching,"Indigo, Red, Yellow",Wedding,Aztec solar deity,N/A,Tropical Dry Savanna,Maya Kaqchikel lineage and weaving as womens identity,None,Active,4,10
TG-30458,Corte Skirt,Corte Skirt,Guatemala,Americas,Maya Kaqchikel,Gown,Innerwear,Classical Antiquity,Ikat,Backstrap loom fabric,Floor loom,Kantha running stitch,"Indigo, Red, Multicolor",Semana Santa,Maasai Engai sky god,Huipil pin,Unknown,Maya Kaqchikel lineage and weaving as womens identity,None,Extinct,8,5
TG-30459,Huipil Blouse,Huipil Blouse,Guatemala,Americas,Maya Kaqchikel,Crown,Bridal,Meiji Period,Backstrap loom fabric,Backstrap loom fabric,Ndop resist,Reverse applique,"Indigo, Yellow",Cofradia Ceremony,None,Tzute headwrap,Hot Semi-Arid,Maya Kaqchikel lineage and weaving as womens identity,Low,Extinct,1,3
TG-30460,Mola Blouse,Mola Blouse,Panama,Americas,Kuna,Festival Costume,Unknown,Bronze Age,Reverse applique layers,Reverse applique layers,Naalbinding,Whitework,"Yellow, Red, Black",Inna Coming-of-Age,None,Wini bead wraps,Cold Alpine,Kuna Yala sovereignty and cosmological mola storytelling,None,Active,7,9
TG-30461,Candomble Ritual Dress,N/A,Brazil,Americas,Bahian Candomble,Festival Costume,Footwear,Not Documented,Silk organza,None,Narrow strip loom,Shadow work,"Turquoise, Blue",Salvador Carnival,Australian Dreaming ancestors,Abebe fan,Subtropical Monsoon,Orixa Yoruba-Brazilian spiritual syncretic identity,Low,Active,7,2
TG-30462,Karatse Body Paint Robe,Karatse Body Paint Robe,Colombia,Americas,Wayuu,Cape,Bridal,Meiji Period,Fique fiber,Acrylic yarn,Dovetail tapestry,Whitework,"Black, Yellow, Bright geometric colors",Carnaval de Barranquilla,Yoruba Orisha devotion,Body paint,Subtropical Monsoon,Wayuu matrilineal clan and Jepirachi wind cosmology,Low,Active,9,7
TG-30463,Sombrero Vueltiao,Sombrero Vueltiao,Colombia,Americas,Wayuu,Hat,Royal,Mughal Period,Acrylic yarn,Silk thread,Inkle loom,Drawn thread,"Bright geometric colors, Black",Market,Maasai Engai sky god,Body paint,Continental Steppe,N/A,None,Active,8,1
TG-30464,Wayuu Mochila Bag Outfit,Wayuu Mochila Bag Outfit,Colombia,Americas,Wayuu,Tunic,Warrior,Post-Colonial Modern,Fique fiber,None,Brocade,N/A,"Bright geometric colors, Yellow",Market,Andean Pachamama earth spirit,Body paint,Tropical Dry Savanna,Wayuu matrilineal clan and Jepirachi wind cosmology,High,Active,2,3
TG-30465,Ghost Dance Shirt,Ghost Dance Shirt,USA,Americas,Lakota Sioux,Warrior Attire,Ritual,Pre-Columbian,Beaded cloth,Beaded cloth,Plain weave,Satin stitch,"Ochre, Turquoise",Vision Quest,Shamanic world tree and axis mundi,Medicine bundle,Hot Desert,Lakota Wakan Tanka spiritual connection and warrior honor,None,Endangered,9,7
TG-30466,Burden Strap Outfit,Burden Strap Outfit,Canada,Americas,Haudenosaunee,Trousers,Footwear,19th Century,Elm bark,Silk thread,Twined fiber,Needlepoint,"White Wampum, Black, Turquoise",Longhouse Ceremony,Yoruba Orisha devotion,Beaded moccasins,Tropical Dry Savanna,Haudenosaunee Confederacy law and Great Spirit covenant,Medium,Endangered,7,3
TG-30467,Gustoweh Feathered Hat,,Canada,Americas,Haudenosaunee,Cape,Ritual,Pre-Columbian,Deerskin,Beaded wool,Tapestry weave,,"Red, White Wampum",Midwinter Ceremony,Islamic modesty and geometric pattern,Clan animal brooch,Subtropical Monsoon,Haudenosaunee Confederacy law and Great Spirit covenant,Low,Active,2,5
TG-30468,Wampum Belt Outfit,Wampum Belt Outfit,Canada,Americas,Haudenosaunee,Shirt,Innerwear,Colonial Era 1500-1900,Elm bark,Beaded wool,Brocade,Zardozi goldwork,"Red, Black",Longhouse Ceremony,None,Clan animal brooch,Cool Temperate Forest,Haudenosaunee Confederacy law and Great Spirit covenant,High,Extinct,5,3
TG-30469,False Face Robe,False Face Robe,Canada,Americas,Haudenosaunee,Sash,Religious,Pre-Columbian,Elm bark,None,Ikat,Satin stitch,"White Wampum, Red",Condolence,Hindu cosmic order and divine kingship,,Mountain Desert,Haudenosaunee Confederacy law and Great Spirit covenant,Low,Active,1,2
TG-30470,Ceremonial Fur Parka,Ceremonial Fur Parka,Alaska USA,Arctic,Yupik Eskimo,Tunic,,Viking Age,Caribou hide,None,Jacquard loom,Kantha running stitch,"White, Rust",Hunting,,Dance fan,Mediterranean,Yupik Ellam Yua world spirit and survival in Arctic,Not Documented,Reviving,9,6
TG-30471,Gut Skin Raincoat,Gut Skin Raincoat,Alaska USA,Arctic,Yupik Eskimo,Festival Costume,Tribal,Meiji Period,Seal skin,None,Mud cloth bogolanfini,Kasuti embroidery,"Black, Rust",Gathering,Australian Dreaming ancestors,Ulu knife,Tropical Dry Savanna,Yupik Ellam Yua world spirit and survival in Arctic,Very High,Endangered,2,1
TG-30472,Kuspuk Parka,Not Documented,Alaska USA,Arctic,Yupik Eskimo,Kuspuk Coat,Festival,Contemporary,Seal skin,Silk thread,Tapestry weave,Kantha running stitch,"Rust, Black, Brown Earth",Messenger Feast,Taoist cosmic balance,Bladder float,Subtropical Monsoon,Unknown,High,,1,6
TG-30473,Beaded Atikluk,N/A,Alaska USA,Arctic,Yupik Eskimo,Cape,,Bronze Age,Cotton,Caribou hide,Sprang,Blackwork,"White, Black",Gathering,Hindu cosmic order and divine kingship,Dance fan,Tropical Dry Savanna,Yupik Ellam Yua world spirit and survival in Arctic,Medium,Active,6,4
TG-30474,Anorak Amaat Parka,Anorak Amaat Parka,Greenland,Arctic,Kalaallit,Scarf,Ritual,Iron Age,Sealskin,None,Supplementary weft,Needle lace,"Black, Colorful beads, White",Hunter Return,None,Kamik boots,Mountain Desert,Kalaallit Inuit identity and Arctic survival kinship,Low,Extinct,8,4
TG-30475,Beaded Collar,Beaded Collar,Greenland,Arctic,Kalaallit,Shirt,Headwear,Early Modern 1400-1700,Polar bear fur,Ringed seal,Resist dyeing,Mirror work shisha,"White, Colorful beads, Black",Hunter Return,Animist spirit world connection,Braided hair,Tropical Highland,Kalaallit Inuit identity and Arctic survival kinship,High,Active,4,4
TG-30476,Kamiks Boots,Kamiks Boots,Greenland,Arctic,Kalaallit,Ceremonial Robe,,Pre-Contact-Present,Dog skin,Ringed seal,Hand spinning,Goldwork couching,"Brown, White, Colorful beads",Christmas,Maya Ixchel moon goddess,Sealskin mittens,Arctic,Kalaallit Inuit identity and Arctic survival kinship,N/A,Active,9,9
TG-30477,Drumming Coat,Drumming Coat,Canada,Arctic,Inuvialuit,Crown,Festival,Early 20th Century,Caribou hide,Muskrat fur,Block printing,Aari hook stitch,"Colorful trade beads, Black, Tan",Trade Gathering,Maasai Engai sky god,Bone hair comb,Equatorial Rainforest,Inuvialuit coastal identity and Arctic kinship,High,Active,2,2
TG-30478,Caribou Parka,Caribou Parka,Canada,Arctic,Inuvialuit,Ritual Costume,Ritual,Iron Age,Seal skin,Muskrat fur,Jacquard loom,Blackwork,"Tan, White",Subsistence Hunting,Unknown,Trade bead necklace,Arctic Tundra,Inuvialuit coastal identity and Arctic kinship,Low,Endangered,10,4
TG-30479,Moccasin Boots,Moccasin Boots,Canada,Arctic,Inuvialuit,Ritual Costume,Festival,Medieval 1000-1400 CE,Caribou hide,None,Resist dyeing,Whitework,"Tan, Colorful trade beads",Subsistence Hunting,Shamanic world tree and axis mundi,Drum,Hot Desert,Inuvialuit coastal identity and Arctic kinship,Low,Endangered,1,8
TG-30480,Beaded Hood,Beaded Hood,Unknown,Arctic,Inuvialuit,Gown,Warrior,Mughal Period,Moose hide,Unknown,Drawloom,Drawn thread,"Tan, Black",Trade Gathering,None,Drum,Tropical Humid,Inuvialuit coastal identity and Arctic kinship,Very High,Active,2,1
TG-30481,Gakti Festival Costume,Gakti Festival Costume,Finland,Arctic,Sami,Body Wrap,Tribal,Meiji Period,Wool broadcloth,,Hand spinning,None,"Yellow, Royal Blue, Red",Sami National Day,Taoist cosmic balance,Reindeer knife,Equatorial Rainforest,Sami Noaidi shamanic tradition and reindeer herding identity,None,Extinct,2,5
TG-30482,Taniko Woven Cloak,Taniko Woven Cloak,New Zealand,Pacific Islands,Maori,Taniko Jacket,Ritual,Renaissance,Dog skin,,Drawloom,Cross-stitch,"White, Black",Powhiri Welcome,None,Huia feather,Hot Semi-Arid,Maori whakapapa genealogy and mana spiritual prestige,Very High,Endangered,8,5
TG-30483,Kahu Huruhuru Feather Cloak,Kahu Huruhuru Feather Cloak,New Zealand,Pacific Islands,Maori,Tunic,Headwear,Medieval 1000-1400 CE,Dog skin,Albatross feathers,Sprang,Sequin applique,"Red Ochre, Tan",Matauranga Ceremony,Shinto nature kami,Bone fishhook,Cold Continental,Maori whakapapa genealogy and mana spiritual prestige,None,Extinct,4,8
TG-30484,Lei Garland Dress,Not Documented,Hawaii USA,Pacific Islands,Native Hawaiian,Body Wrap,Ceremonial,Mughal Period,Pandanus leaf,None,Sprang,N/A,"Yellow, Red, Black",Hula Ceremony,Islamic modesty and geometric pattern,Feather helmet,,Mana divine power and alii royal genealogy,Low,Endangered,10,2
TG-30485,Kapa Cloth Robe,Kapa Cloth Robe,Hawaii USA,Pacific Islands,Native Hawaiian,Kaftan,Court,Contemporary,Feathers,Feathers,Dovetail tapestry,Needle lace,"Green, Yellow",Makahiki Festival,,Kukui nut lei,Cold Alpine,Mana divine power and alii royal genealogy,Medium,Active,8,1
TG-30486,Bark Belt Outfit,Not Documented,Papua New Guinea,Pacific Islands,Huli Wigmen,Scarf,Footwear,Viking Age,Bark cloth,None,Batik wax resist,Reverse applique,"Yellow, Blue, White",Sing-Sing Festival,Animist spirit world connection,Face paint,Temperate Maritime,Huli Dindi Pongone spirit and masculine warrior display,Very High,Extinct,3,2
TG-30487,Apron Front Skirt,Apron Front Skirt,Papua New Guinea,Pacific Islands,Huli Wigmen,Body Wrap,N/A,Early Modern 1400-1700,Human hair wig,Cotton lining,Screen printing,Aari hook stitch,"White, Yellow, Blue",Battle Preparation,Huli traditional religion,Not Documented,Tropical Humid,,Very High,Active,1,8
TG-30488,Huli Wig Headdress,Huli Wig Headdress,Unknown,Pacific Islands,Huli Wigmen,Saree,Daily,Iron Age,Pig tusk,Cassowary feathers,Card weaving,None,,Sing-Sing Festival,Taoist cosmic balance,Bird of paradise plumes,,Huli Dindi Pongone spirit and masculine warrior display,Very High,Reviving,1,10
TG-30489,Nose Bone Robe,,Papua New Guinea,Pacific Islands,Huli Wigmen,Warrior Attire,Outerwear,Classical Antiquity,Bark cloth,Pig tusk,Drawloom,Tibetan couching,"Yellow, White, Red Clay",Battle Preparation,Maya Ixchel moon goddess,Bamboo flute,Tropical Humid,Huli Dindi Pongone spirit and masculine warrior display,None,Active,6,5
TG-30490,Tuiga Headdress,Tuiga Headdress,Samoa,Pacific Islands,Samoan,Sarong,Ritual,Baroque,Cotton,N/A,Tie-dye,Sequin applique,"White, Brown",Title Bestowing,Confucian social hierarchy,Nifo oti tooth necklace,Tropical Humid,Samoan faasamoa custom and mana chiefly rank,High,Active,3,8
TG-30491,Tapa Masi Cloth,Tapa Masi Cloth,Fiji,Pacific Islands,iTaukei Fijian,Bridal Ensemble,Unknown,19th Century,Cotton sulu,None,Twined weaving,Masi geometric print,"White, Black, Brown",Wedding,Taoist cosmic balance,Flower lei,Mountain Desert,Not Documented,Very High,Endangered,8,7
TG-30492,Ceremonial Body Paint Robe,Ceremonial Body Paint Robe,Australia,Pacific Islands,Yolngu Aboriginal,Hat,Ceremonial,Silk Road Era,Ochre-painted bark,Animal hide,Jacquard loom,Kasuti embroidery,"White, Yellow, Ochre",Yolngu Bungul,None,Feather crown,Subarctic,Yolngu Dreaming and clan moiety identity,None,Endangered,6,5
TG-30493,Hihifo Festival Dress,Not Documented,Tonga,Pacific Islands,Tongan,Sarong,Innerwear,Mughal Period,Pandanus mat,Silk thread,Plain weave,Smocking,"Brown, White",Funeral,Shinto nature kami,Kie hingoa heirloom mat,High Altitude Cold,Tongan anga faka-Tonga custom and noble tapu sacred rank,Very High,Reviving,2,5
TG-30494,Ngatu Tapa Garment,Ngatu Tapa Garment,Tonga,Pacific Islands,Tongan,Hat,Bridal,Pre-Columbian,Natural fiber,Bark cloth ngatu,Supplementary weft,Satin stitch,"Brown, White, Black geometric",Tongan Language Week,Maasai Engai sky god,Kie hingoa heirloom mat,Unknown,Tongan anga faka-Tonga custom and noble tapu sacred rank,Very High,Active,9,7
TG-30495,Kiekie Waist Wrap,Not Documented,Tonga,Pacific Islands,Tongan,Not Documented,Innerwear,Renaissance,Natural fiber,None,Knotted pile,Kupesi pattern,"Black geometric, White, Tan",Heilala Festival,Buddhist merit and dharma symbolism,Kie hingoa heirloom mat,Subtropical Monsoon,Tongan anga faka-Tonga custom and noble tapu sacred rank,Medium,Active,1,10
